City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Silver Spring;Maryland;33.8;40601;41862;82463;1562;30908;2.6;MD;Hispanic or Latino;25924
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;White;58723
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Asian;4759
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;Black or African-American;24437
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;White;76402
Peoria;Illinois;33.1;56229;62432;118661;6634;7517;2.4;IL;American Indian and Alaska Native;1343
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Black or African-American;11592
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;Asian;32716
O'Fallon;Missouri;36.0;41762;43270;85032;5783;3269;2.77;MO;Hispanic or Latino;2583
High Point;North Carolina;35.5;51751;58077;109828;5204;16315;2.65;NC;Asian;11060
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Hispanic or Latino;5822
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;American Indian and Alaska Native;998
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;Asian;122721
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;Hispanic or Latino;65162
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;American Indian and Alaska Native;8791
Fort Myers;Florida;37.3;36850;37165;74015;4312;15365;2.45;FL;White;50169
Pittsburgh;Pennsylvania;32.9;149690;154695;304385;17728;28187;2.13;PA;White;208863
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;American Indian and Alaska Native;1253
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Asian;27089
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;White;55847
Allen;Pennsylvania;33.5;60626;59581;120207;5691;19652;2.67;PA;Black or African-American;22304
